"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2020 20:00:00 - 09/01/2020 21:00:00","BZN|IT-North","Without Sequence","51.00","",""
"09/01/2020 21:00:00 - 09/01/2020 22:00:00","BZN|IT-North","Without Sequence","50.00","",""
"09/01/2020 22:00:00 - 09/01/2020 23:00:00","BZN|IT-North","Without Sequence","46.51","",""
"09/01/2020 23:00:00 - 10/01/2020 00:00:00","BZN|IT-North","Without Sequence","44.79","",""
"10/01/2020 00:00:00 - 10/01/2020 01:00:00","BZN|IT-North","Without Sequence","43.33","",""
"10/01/2020 01:00:00 - 10/01/2020 02:00:00","BZN|IT-North","Without Sequence","40.29","",""
"10/01/2020 02:00:00 - 10/01/2020 03:00:00","BZN|IT-North","Without Sequence","40.00","",""
"10/01/2020 03:00:00 - 10/01/2020 04:00:00","BZN|IT-North","Without Sequence","40.87","",""
"10/01/2020 04:00:00 - 10/01/2020 05:00:00","BZN|IT-North","Without Sequence","40.35","",""
"10/01/2020 05:00:00 - 10/01/2020 06:00:00","BZN|IT-North","Without Sequence","43.53","",""
"10/01/2020 06:00:00 - 10/01/2020 07:00:00","BZN|IT-North","Without Sequence","45.96","",""
"10/01/2020 07:00:00 - 10/01/2020 08:00:00","BZN|IT-North","Without Sequence","53.24","",""
"10/01/2020 08:00:00 - 10/01/2020 09:00:00","BZN|IT-North","Without Sequence","63.63","",""
"10/01/2020 09:00:00 - 10/01/2020 10:00:00","BZN|IT-North","Without Sequence","63.73","",""
"10/01/2020 10:00:00 - 10/01/2020 11:00:00","BZN|IT-North","Without Sequence","55.00","",""
"10/01/2020 11:00:00 - 10/01/2020 12:00:00","BZN|IT-North","Without Sequence","51.00","",""
"10/01/2020 12:00:00 - 10/01/2020 13:00:00","BZN|IT-North","Without Sequence","50.00","",""
"10/01/2020 13:00:00 - 10/01/2020 14:00:00","BZN|IT-North","Without Sequence","50.00","",""
"10/01/2020 14:00:00 - 10/01/2020 15:00:00","BZN|IT-North","Without Sequence","50.00","",""
"10/01/2020 15:00:00 - 10/01/2020 16:00:00","BZN|IT-North","Without Sequence","53.00","",""
"10/01/2020 16:00:00 - 10/01/2020 17:00:00","BZN|IT-North","Without Sequence","62.88","",""
"10/01/2020 17:00:00 - 10/01/2020 18:00:00","BZN|IT-North","Without Sequence","70.49","",""
"10/01/2020 18:00:00 - 10/01/2020 19:00:00","BZN|IT-North","Without Sequence","65.46","",""
"10/01/2020 19:00:00 - 10/01/2020 20:00:00","BZN|IT-North","Without Sequence","56.13","",""
