"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2017 08:00:00 - 11/01/2017 09:00:00","BZN|BE","Without Sequence","90.42","",""
"11/01/2017 09:00:00 - 11/01/2017 10:00:00","BZN|BE","Without Sequence","87.77","",""
"11/01/2017 10:00:00 - 11/01/2017 11:00:00","BZN|BE","Without Sequence","69.96","",""
"11/01/2017 11:00:00 - 11/01/2017 12:00:00","BZN|BE","Without Sequence","78.92","",""
"11/01/2017 12:00:00 - 11/01/2017 13:00:00","BZN|BE","Without Sequence","79.98","",""
"11/01/2017 13:00:00 - 11/01/2017 14:00:00","BZN|BE","Without Sequence","79.56","",""
"11/01/2017 14:00:00 - 11/01/2017 15:00:00","BZN|BE","Without Sequence","79.82","",""
"11/01/2017 15:00:00 - 11/01/2017 16:00:00","BZN|BE","Without Sequence","78.87","",""
"11/01/2017 16:00:00 - 11/01/2017 17:00:00","BZN|BE","Without Sequence","79.45","",""
"11/01/2017 17:00:00 - 11/01/2017 18:00:00","BZN|BE","Without Sequence","68.87","",""
"11/01/2017 18:00:00 - 11/01/2017 19:00:00","BZN|BE","Without Sequence","72.49","",""
"11/01/2017 19:00:00 - 11/01/2017 20:00:00","BZN|BE","Without Sequence","68.84","",""
"11/01/2017 20:00:00 - 11/01/2017 21:00:00","BZN|BE","Without Sequence","64.23","",""
"11/01/2017 21:00:00 - 11/01/2017 22:00:00","BZN|BE","Without Sequence","55.00","",""
"11/01/2017 22:00:00 - 11/01/2017 23:00:00","BZN|BE","Without Sequence","64.30","",""
"11/01/2017 23:00:00 - 12/01/2017 00:00:00","BZN|BE","Without Sequence","77.51","",""
"12/01/2017 00:00:00 - 12/01/2017 01:00:00","BZN|BE","Without Sequence","67.19","",""
"12/01/2017 01:00:00 - 12/01/2017 02:00:00","BZN|BE","Without Sequence","60.37","",""
"12/01/2017 02:00:00 - 12/01/2017 03:00:00","BZN|BE","Without Sequence","60.71","",""
"12/01/2017 03:00:00 - 12/01/2017 04:00:00","BZN|BE","Without Sequence","51.37","",""
"12/01/2017 04:00:00 - 12/01/2017 05:00:00","BZN|BE","Without Sequence","48.46","",""
"12/01/2017 05:00:00 - 12/01/2017 06:00:00","BZN|BE","Without Sequence","60.01","",""
"12/01/2017 06:00:00 - 12/01/2017 07:00:00","BZN|BE","Without Sequence","65.35","",""
